Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,1N4148W,D_SOD-123,-57.92,-96.73,90,bottom
D2,1N4148W,D_SOD-123,-57.925,-120.575,90,bottom
D3,1N4148W,D_SOD-123,-62.675,-139.65,90,bottom
D4,1N4148W,D_SOD-123,-65.06,-158.7,90,bottom
D5,1N4148W,D_SOD-123,-69.82,-177.75,90,bottom
D6,1N4148W,D_SOD-123,-60.3,-196.8,90,bottom
D7,1N4148W,D_SOD-123,-76.975,-120.575,90,bottom
D8,1N4148W,D_SOD-123,-86.525,-139.65,90,bottom
D9,1N4148W,D_SOD-123,-91.25,-158.7,90,bottom
D10,1N4148W,D_SOD-123,-100.8,-177.75,90,bottom
D11,1N4148W,D_SOD-123,-84.1,-196.8,90,bottom
D12,1N4148W,D_SOD-123,-96.05,-96.73,90,bottom
D13,1N4148W,D_SOD-123,-96.02,-120.57,90,bottom
D14,1N4148W,D_SOD-123,-105.58,-139.65,90,bottom
D15,1N4148W,D_SOD-123,-110.3,-158.7,90,bottom
D16,1N4148W,D_SOD-123,-119.85,-177.76,90,bottom
D17,1N4148W,D_SOD-123,-107.91,-196.79,90,bottom
D18,1N4148W,D_SOD-123,-115.1,-96.73,90,bottom
D19,1N4148W,D_SOD-123,-115.075,-120.575,90,bottom
D20,1N4148W,D_SOD-123,-124.625,-139.65,90,bottom
D21,1N4148W,D_SOD-123,-129.35,-158.7,90,bottom
D22,1N4148W,D_SOD-123,-138.9,-177.75,90,bottom
D23,1N4148W,D_SOD-123,-146.05,-196.8,90,bottom
D24,1N4148W,D_SOD-123,-134.15,-96.73,90,bottom
D25,1N4148W,D_SOD-123,-134.125,-120.575,90,bottom
D26,1N4148W,D_SOD-123,-143.675,-139.65,90,bottom
D27,1N4148W,D_SOD-123,-148.4,-158.7,90,bottom
D28,1N4148W,D_SOD-123,-157.95,-177.75,90,bottom
D29,1N4148W,D_SOD-123,-153.2,-96.73,90,bottom
D30,1N4148W,D_SOD-123,-153.175,-120.575,90,bottom
D31,1N4148W,D_SOD-123,-162.725,-139.65,90,bottom
D32,1N4148W,D_SOD-123,-167.45,-158.7,90,bottom
D33,1N4148W,D_SOD-123,-177,-177.75,90,bottom
D34,1N4148W,D_SOD-123,-181.75,-96.755,90,bottom
D35,1N4148W,D_SOD-123,-172.225,-120.575,90,bottom
D36,1N4148W,D_SOD-123,-181.775,-139.65,90,bottom
D37,1N4148W,D_SOD-123,-186.5,-158.7,90,bottom
D38,1N4148W,D_SOD-123,-196.05,-177.75,90,bottom
D39,1N4148W,D_SOD-123,-200.8,-96.755,90,bottom
D40,1N4148W,D_SOD-123,-191.275,-120.575,90,bottom
D41,1N4148W,D_SOD-123,-200.825,-139.65,90,bottom
D42,1N4148W,D_SOD-123,-205.55,-158.7,90,bottom
D43,1N4148W,D_SOD-123,-215.1,-177.75,90,bottom
D44,1N4148W,D_SOD-123,-212.7,-196.8,90,bottom
D45,1N4148W,D_SOD-123,-219.85,-96.755,90,bottom
D46,1N4148W,D_SOD-123,-210.325,-120.575,90,bottom
D47,1N4148W,D_SOD-123,-219.875,-139.65,90,bottom
D48,1N4148W,D_SOD-123,-224.6,-158.7,90,bottom
D49,1N4148W,D_SOD-123,-234.15,-177.75,90,bottom
D50,1N4148W,D_SOD-123,-248.41,-196.8,90,bottom
D51,1N4148W,D_SOD-123,-238.9,-96.755,90,bottom
D52,1N4148W,D_SOD-123,-229.375,-120.575,90,bottom
D53,1N4148W,D_SOD-123,-238.925,-139.65,90,bottom
D54,1N4148W,D_SOD-123,-243.65,-158.7,90,bottom
D55,1N4148W,D_SOD-123,-253.2,-177.75,90,bottom
D56,1N4148W,D_SOD-123,-267.45,-196.8,90,bottom
D57,1N4148W,D_SOD-123,-267.45,-96.73,90,bottom
D58,1N4148W,D_SOD-123,-248.425,-120.575,90,bottom
D59,1N4148W,D_SOD-123,-257.975,-139.65,90,bottom
D60,1N4148W,D_SOD-123,-262.7,-158.7,90,bottom
D61,1N4148W,D_SOD-123,-272.25,-177.75,90,bottom
D62,1N4148W,D_SOD-123,-286.51,-196.8,90,bottom
D63,1N4148W,D_SOD-123,-286.5,-96.73,90,bottom
D64,1N4148W,D_SOD-123,-267.475,-120.575,90,bottom
D65,1N4148W,D_SOD-123,-277.025,-139.65,90,bottom
D66,1N4148W,D_SOD-123,-281.75,-158.7,90,bottom
D67,1N4148W,D_SOD-123,-298.45,-177.75,90,bottom
D68,1N4148W,D_SOD-123,-305.56,-196.79,90,bottom
D69,1N4148W,D_SOD-123,-305.55,-96.73,90,bottom
D70,1N4148W,D_SOD-123,-286.525,-120.575,90,bottom
D71,1N4148W,D_SOD-123,-296.075,-139.65,90,bottom
D72,1N4148W,D_SOD-123,-312.7,-158.7,90,bottom
D73,1N4148W,D_SOD-123,-324.6,-177.75,90,bottom
D74,1N4148W,D_SOD-123,-324.6,-196.8,90,bottom
D75,1N4148W,D_SOD-123,-324.6,-96.73,90,bottom
D76,1N4148W,D_SOD-123,-315.075,-120.575,90,bottom
D77,1N4148W,D_SOD-123,-319.85,-139.65,90,bottom
D78,1N4148W,D_SOD-123,-348.35,-154.05,90,bottom
D79,1N4148W,D_SOD-123,-348.35,-173.1,90,bottom
D80,1N4148W,D_SOD-123,-343.65,-196.8,90,bottom